watch_id,brand,model,reference_number,reference_key,display_name,search_text,year,production_years,movement,case_material,case_size,condition,market_price_usd,market_price_source,market_price_updated_at,auction_price_usd,auction_house,auction_date,auction_lot_url,shop_sources,source_count,source_urls,data_quality,notes,updated_at
a_lange_s_hne_01,A. Lange & Söhne,,01,01,A. Lange & Söhne 01,A LANGE S HNE 01 01 A LANGE S HNE 01,,,,,,,1802,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,2,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,low,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_0173377664187set,A. Lange & Söhne,,01-733-7766-4187-SET,0173377664187SET,A. Lange & Söhne 01-733-7766-4187-SET,A LANGE S HNE 01 733 7766 4187 SET 0173377664187SET A LANGE S HNE 01 733 7766 4187 SET 41 5 MM,,,,,41.5 mm,,2474,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,1,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,low,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_0111577597153,A. Lange & Söhne,,01.115.7759.7153,0111577597153,A. Lange & Söhne 01.115.7759.7153,A LANGE S HNE 01 115 7759 7153 0111577597153 A LANGE S HNE 01 115 7759 7153 44 MM,,,,,44 mm,,3912,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,1,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,low,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_0111477464063set12272fc,A. Lange & Söhne,,0111477464063-SET12272FC,0111477464063SET12272FC,A. Lange & Söhne 0111477464063-SET12272FC,A LANGE S HNE 0111477464063 SET12272FC 0111477464063SET12272FC A LANGE S HNE 0111477464063 SET12272FC 44 MM,,,,,44 mm,,6000,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,1,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,low,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_0111477464164set12272fc,A. Lange & Söhne,,0111477464164-SET12272FC,0111477464164SET12272FC,A. Lange & Söhne 0111477464164-SET12272FC,A LANGE S HNE 0111477464164 SET12272FC 0111477464164SET12272FC A LANGE S HNE 0111477464164 SET12272FC,,,,,,,6200,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,1,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,low,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_01122,A. Lange & Söhne,,01122,01122,A. Lange & Söhne 01122,A LANGE S HNE 01122 01122 A LANGE S HNE 01122 45 MM,,,,,45 mm,,797,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,1,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,low,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_0140077634135,A. Lange & Söhne,,0140077634135,0140077634135,A. Lange & Söhne 0140077634135,A LANGE S HNE 0140077634135 0140077634135 A LANGE S HNE 0140077634135 43 MM,,,,,43 mm,,1786,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,2,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,low,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_01400776341350782409peb,A. Lange & Söhne,,0140077634135-0782409PEB,01400776341350782409PEB,A. Lange & Söhne 0140077634135-0782409PEB,A LANGE S HNE 0140077634135 0782409PEB 01400776341350782409PEB A LANGE S HNE 0140077634135 0782409PEB 43 MM,,,,,43 mm,,2296,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,2,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,low,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_01400776341570782409peb,A. Lange & Söhne,,0140077634157-0782409PEB,01400776341570782409PEB,A. Lange & Söhne 0140077634157-0782409PEB,A LANGE S HNE 0140077634157 0782409PEB 01400776341570782409PEB A LANGE S HNE 0140077634157 0782409PEB 43 5 MM,,,,,43.5 mm,,3275,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,1,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,low,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_0140077724217set,A. Lange & Söhne,,0140077724217-SET,0140077724217SET,A. Lange & Söhne 0140077724217-SET,A LANGE S HNE 0140077724217 SET 0140077724217SET A LANGE S HNE 0140077724217 SET 40 MM,,,,,40 mm,,3162,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,1,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,low,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_0140177643185,A. Lange & Söhne,,0140177643185,0140177643185,A. Lange & Söhne 0140177643185,A LANGE S HNE 0140177643185 0140177643185 A LANGE S HNE 0140177643185 40 MM,,,,,40 mm,,2902,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,2,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,low,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_0140177643185set,A. Lange & Söhne,,0140177643185-SET,0140177643185SET,A. Lange & Söhne 0140177643185-SET,A LANGE S HNE 0140177643185 SET 0140177643185SET A LANGE S HNE 0140177643185 SET 40 MM,,,,,40 mm,,3604,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,7,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,medium,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_0140177814081set,A. Lange & Söhne,,0140177814081-SET,0140177814081SET,A. Lange & Söhne 0140177814081-SET,A LANGE S HNE 0140177814081 SET 0140177814081SET A LANGE S HNE 0140177814081 SET 40 MM,,,,,40 mm,,3344,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,1,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,low,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_01635756840640782161,A. Lange & Söhne,,0163575684064-0782161,01635756840640782161,A. Lange & Söhne 0163575684064-0782161,A LANGE S HNE 0163575684064 0782161 01635756840640782161 A LANGE S HNE 0163575684064 0782161 43 MM,,,,,43 mm,,898,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,3,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,medium,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
