display_name,brand,model,reference_number,reference_key,search_text,market_price_usd,market_price_source,market_price_updated_at,shop_sources,source_count,data_quality,notes,updated_at
Rolex Daytona 116520,Rolex,Daytona,116520,116520,ROLEX DAYTONA 116520 116520 ROLEX DAYTONA 116520 AUTOMATIC STEEL 40 MM FAIR,27872,webscrapped_watch_dataset_median,2026-09-04,Chrono24 dataset,736,high,Manual verified example,2026-09-04
Rolex Datejust 41 126334,Rolex,Datejust 41,126334,126334,ROLEX DATEJUST 41 126334 126334 ROLEX DATEJUST 41 126334 AUTOMATIC STEEL 41 MM NEW,15186,webscrapped_watch_dataset_median,2026-09-04,Chrono24 dataset,1988,medium,Median price from open historical/active listings dataset; not live appraisal.,2026-09-04
Rolex Datejust 41 126300,Rolex,Datejust 41,126300,126300,ROLEX DATEJUST 41 126300 126300 ROLEX DATEJUST 41 126300 41 MM VERY GOOD,11611,webscrapped_watch_dataset_median,2026-09-04,Chrono24 dataset,1537,medium,Median price from open historical/active listings dataset; not live appraisal.,2026-09-04
Rolex Datejust 36 16233,Rolex,Datejust 36,16233,16233,ROLEX DATEJUST 36 16233 16233 ROLEX DATEJUST 36 16233 36 MM VERY GOOD,7584,webscrapped_watch_dataset_median,2026-09-04,Chrono24 dataset,944,medium,Median price from open historical/active listings dataset; not live appraisal.,2026-09-04
Rolex Datejust 36 126234,Rolex,Datejust 36,126234,126234,ROLEX DATEJUST 36 126234 126234 ROLEX DATEJUST 36 126234 AUTOMATIC STEEL 36 MM NEW,13338,webscrapped_watch_dataset_median,2026-09-04,Chrono24 dataset,923,medium,Median price from open historical/active listings dataset; not live appraisal.,2026-09-04
Rolex Lady-Datejust 69173,Rolex,Lady-Datejust,69173,69173,ROLEX LADY DATEJUST 69173 69173 ROLEX LADY DATEJUST 69173 AUTOMATIC GOLD STEEL 26 MM VERY GOOD,5131,webscrapped_watch_dataset_median,2026-09-04,Chrono24 dataset,838,medium,Median price from open historical/active listings dataset; not live appraisal.,2026-09-04
Rolex Explorer II 16570,Rolex,Explorer II,16570,16570,ROLEX EXPLORER II 16570 16570 ROLEX EXPLORER II 16570 NEW,9536,webscrapped_watch_dataset_median,2026-09-04,Chrono24 dataset,765,medium,Median price from open historical/active listings dataset; not live appraisal.,2026-09-04
Rolex Daytona 116500LN,Rolex,Daytona,116500LN,116500LN,ROLEX DAYTONA 116500LN 116500LN ROLEX DAYTONA 116500LN AUTOMATIC STEEL 40 MM UNWORN,33963,webscrapped_watch_dataset_median,2026-09-04,Chrono24 dataset,759,medium,Median price from open historical/active listings dataset; not live appraisal.,2026-09-04
Rolex Oyster Perpetual 41 124300,Rolex,Oyster Perpetual 41,124300,124300,ROLEX OYSTER PERPETUAL 41 124300 124300 ROLEX OYSTER PERPETUAL 41 124300 AUTOMATIC STEEL 41 MM UNWORN,11274,webscrapped_watch_dataset_median,2026-09-04,Chrono24 dataset,723,medium,Median price from open historical/active listings dataset; not live appraisal.,2026-09-04
Rolex Datejust 41 126333,Rolex,Datejust 41,126333,126333,ROLEX DATEJUST 41 126333 126333 ROLEX DATEJUST 41 126333 41 MM VERY GOOD,17000,webscrapped_watch_dataset_median,2026-09-04,Chrono24 dataset,699,medium,Median price from open historical/active listings dataset; not live appraisal.,2026-09-04
Rolex Submariner Date 16610,Rolex,Submariner Date,16610,16610,ROLEX SUBMARINER DATE 16610 16610 ROLEX SUBMARINER DATE 16610 AUTOMATIC STEEL 40 MM GOOD,11350,webscrapped_watch_dataset_median,2026-09-04,Chrono24 dataset,655,medium,Median price from open historical/active listings dataset; not live appraisal.,2026-09-04
